variant,scenario,phase,repetition,exit_code,elapsed_seconds,parse_status,tokens_per_second,avg_ns,log
gcc,pp512,measure,18,0,17.915735,OK,32.121745,15939358227.0,logs/bench_gcc_pp512_measure_18.log
llvm,tg128,measure,18,0,12.203560,OK,12.051468,10621112409.0,logs/bench_llvm_tg128_measure_18.log
balanced,pp512,measure,19,0,18.425043,OK,31.754066,16123919477.0,logs/bench_balanced_pp512_measure_19.log
balanced,tg128,measure,19,0,13.860160,OK,11.055498,11577949647.0,logs/bench_balanced_tg128_measure_19.log
llvm,tg128,measure,19,0,12.205790,OK,12.033101,10637324503.0,logs/bench_llvm_tg128_measure_19.log
gcc,tg128,measure,19,0,13.309111,OK,11.304926,11322497502.0,logs/bench_gcc_tg128_measure_19.log
gcc,pp512,measure,19,0,18.025259,OK,31.947655,16026215610.0,logs/bench_gcc_pp512_measure_19.log
llvm,pp512,measure,19,0,15.265016,OK,37.422291,13681684947.0,logs/bench_llvm_pp512_measure_19.log
balanced,pp512,measure,20,0,18.366056,OK,31.762799,16119486111.0,logs/bench_balanced_pp512_measure_20.log
gcc,pp512,measure,20,0,18.262413,OK,31.495846,16256111995.0,logs/bench_gcc_pp512_measure_20.log
gcc,tg128,measure,20,0,13.316976,OK,11.280026,11347491471.0,logs/bench_gcc_tg128_measure_20.log
llvm,tg128,measure,20,0,12.201829,OK,12.009683,10658066475.0,logs/bench_llvm_tg128_measure_20.log
balanced,tg128,measure,20,0,13.805198,OK,11.12595,11504635656.0,logs/bench_balanced_tg128_measure_20.log
llvm,pp512,measure,20,0,15.564654,OK,36.589541,13993069682.0,logs/bench_llvm_pp512_measure_20.log
