variant,algorithm,block_size,phase,repetition,status,bytes_per_second,elapsed_seconds
ollvm-full,ChaCha20-Poly1305,64,warmup,2,OK,27795968.0,1.116653185999894
optimized,SHA-512,16384,warmup,2,OK,242089984.0,1.0174881259999893
balanced,ChaCha20-Poly1305,16384,warmup,2,OK,404504576.0,1.017879757999708
ollvm-full,ChaCha20-Poly1305,16384,warmup,2,OK,82427904.0,1.119293588000346
optimized,SHA-512,8192,warmup,2,OK,237084672.0,1.0189033019996714
optimized,ChaCha20-Poly1305,16,warmup,2,OK,79443840.0,1.0177066709998144
gcc,SHA-512,64,warmup,2,OK,234485248.0,1.016901880000205
gcc,SHA-512,256,warmup,2,OK,396312576.0,1.0172218800003066
llvm,ChaCha20-Poly1305,16,warmup,2,OK,350972768.0,1.0177433470003052
optimized,AES-128-CBC,256,warmup,2,OK,210554880.0,1.0181384909997178
ollvm-full,SHA-512,1024,warmup,2,OK,79968256.0,1.1175827140000365
optimized,SHA-512,256,warmup,2,OK,110048768.0,1.0179226420000305
gcc,SHA-512,1024,warmup,2,OK,586291200.0,1.0167697219999354
optimized,AES-128-CBC,64,warmup,2,OK,162913088.0,1.0176515299999664
balanced,ChaCha20-Poly1305,64,warmup,2,OK,207400896.0,1.0182305009998345
ollvm-full,AES-128-CBC,8192,warmup,2,OK,43892736.0,1.1180604440000934
gcc,AES-128-CBC,64,warmup,2,OK,375208448.0,1.0183757849999893
balanced,AES-128-CBC,16384,warmup,2,OK,372326400.0,1.0178358849998403
llvm,AES-128-CBC,256,warmup,2,OK,415161664.65,1.0177367339997545
ollvm-full,SHA-512,256,warmup,2,OK,29852416.0,1.117946263000249
gcc,ChaCha20-Poly1305,16,warmup,2,OK,345450618.18,1.01876823900011
optimized,AES-128-CBC,8192,warmup,2,OK,241631232.0,1.0176785390003715
ollvm-full,AES-128-CBC,256,warmup,2,OK,34892544.0,1.1179091109997898
balanced,SHA-512,64,warmup,2,OK,79119424.0,1.0174641260000499
gcc,ChaCha20-Poly1305,64,warmup,2,OK,449450496.0,1.0171115179996377
gcc,AES-128-CBC,16,warmup,2,OK,356533840.0,1.0174862449998727
balanced,SHA-512,1024,warmup,2,OK,412021760.0,1.0172735339997416
ollvm-full,ChaCha20-Poly1305,1024,warmup,2,OK,74155008.0,1.1174784699996962
llvm,ChaCha20-Poly1305,64,warmup,2,OK,479831040.0,1.0180854850000287
ollvm-full,ChaCha20-Poly1305,1024,warmup,3,OK,74310656.0,1.1182421939997766
balanced,SHA-512,8192,warmup,3,OK,599375872.0,1.0182910760004233
optimized,ChaCha20-Poly1305,8192,warmup,3,OK,390295014.14,1.0182022680000955
llvm,ChaCha20-Poly1305,16384,warmup,3,OK,510869504.0,1.0175988780001717
optimized,AES-128-CBC,8192,warmup,3,OK,243881632.32,1.0181946029997562
gcc,SHA-512,256,warmup,3,OK,400322304.0,1.0175410540000485
ollvm-full,ChaCha20-Poly1305,16,warmup,3,OK,8637728.0,1.1182409709999774
balanced,AES-128-CBC,256,warmup,3,OK,310889472.0,1.0185729449999599
llvm,SHA-512,16384,warmup,3,OK,636813312.0,1.0171636529998977
optimized,AES-128-CBC,1024,warmup,3,OK,228292608.0,1.0178818399999727
llvm,AES-128-CBC,16384,warmup,3,OK,417907846.46,1.0184173659999942
ollvm-full,SHA-512,16,warmup,3,OK,2309168.0,1.118824522000068
llvm,ChaCha20-Poly1305,256,warmup,3,OK,503247104.0,1.0178657050000766
optimized,SHA-512,64,warmup,3,OK,50280896.0,1.017372891999912
balanced,ChaCha20-Poly1305,16,warmup,3,OK,72816824.24,1.0174398419999306
